ss1,ss2,ss3
1.369309344654957e-5,1.7397707484902666e-5,7.696149694946962e-6
1.545965614969821e-5,2.917883486382432e-6,2.8390879650078694e-5
3.2767663416053836e-5,1.0965206436972633e-5,2.25625993152938e-6
2.3516934013276203e-5,2.852869777545957e-5,2.3030219209307995e-5
1.0124761842462742e-5,2.5911383187929246e-5,2.3414835748530556e-6
2.5383193029977118e-5,1.467999969986343e-5,4.927209801416644e-6
1.2538786339318127e-5,8.126542221294509e-6,1.3239764628734772e-5
1.0158223485552824e-6,3.0472532547983504e-5,2.1600375638782232e-5
1.99585447418044e-5,1.7779212355759954e-5,2.709327986587088e-6
1.8986229230680903e-5,1.510633250652979e-5,1.5991868959521492e-5
1.6629800083544165e-5,6.108440117198535e-6,9.197169960372529e-7
2.745547493493829e-6,1.3961829760307316e-5,2.704971237364537e-5
1.3998010296200431e-5,2.1421894132053907e-7,4.347395683182231e-5
2.7244112653897772e-5,3.044583690070642e-5,7.644801419240103e-7
1.3307730366456335e-5,1.10985892833486e-5,2.209785317358568e-5
4.4233823376452416e-5,5.701421592368676e-6,1.5187490884386933e-5
3.8049030700654254e-6,1.1855231576408536e-6,1.9633299149063177e-5
1.9099167354187625e-6,1.977023199675567e-5,3.964156779422294e-6
1.3965542704405237e-5,1.474496919198089e-5,1.694386513271407e-5
2.0659912587771878e-5,1.1919373375986215e-5,3.3908056159606704e-5
1.322843282579323e-6,4.3358166642696645e-5,2.7036237341788502e-5
1.2846636594725366e-5,7.282647383061069e-5,1.0707999759120025e-5
3.0218711295326202e-5,2.0294971767232457e-5,7.277736149134638e-7
1.2198482578075584e-5,2.5879221310351176e-5,2.444102131162556e-5
2.004562936486692e-5,4.481353779357247e-6,3.052137102883795e-5
4.183888534838932e-5,2.2130893988543743e-5,5.2902547965209286e-6
1.550204512520664e-5,6.2630145641796175e-6,9.606902041922539e-6
1.670345895636496e-5,2.497550922169104e-5,4.233137127651101e-5
8.016487111754147e-6,4.369264785079916e-5,3.968498362166207e-5
1.268987182363033e-5,2.134475853511101e-5,2.2397698635565143e-5
1.788338977134707e-7,1.751798073194667e-6,2.15153280073523e-6
2.101320523041527e-5,2.1992658186481375e-6,8.356559968025102e-6
1.0262438444731467e-6,4.655510977232522e-5,1.3867905006198999e-5
5.0568815044231665e-5,1.0731766576839249e-5,4.0668927321121195e-5
3.041480485989776e-5,3.1796289219030214e-5,1.8951128301818936e-5
4.412332722469625e-5,7.687661021640927e-6,2.1673149443067188e-5
2.390980352442893e-5,8.68994167667373e-6,1.4776635128281265e-5
1.6426913873255524e-5,7.47820635626918e-6,1.1164429946061723e-5
1.2732915433505815e-6,4.6494453504739315e-5,1.9278556642568838e-5
1.0722316924653872e-5,9.188959701191952e-6,5.7898629163127e-6
1.2723422606625494e-5,4.557626202118749e-6,2.3157176606403103e-7
5.98299092462344e-6,2.5350133946314784e-5,2.543967461436618e-5
6.160341572907707e-6,2.5760547830620485e-5,1.7908828348059767e-5
2.657603841523448e-5,3.9008021843880894e-5,3.335384538742385e-5
3.664152421952573e-7,9.363639162340398e-6,1.829869204595427e-5
1.7991236188000006e-5,1.8616880428983404e-5,4.035800943562729e-7
1.2120329705360523e-5,1.627969463979938e-5,2.3031416551276603e-5
3.304075772131329e-6,1.0169027114230144e-5,1.6848058735807002e-5
2.119455143105569e-5,7.910116150211523e-7,1.1961511524529912e-6
2.7449620786700922e-5,9.29171694408075e-6,2.7633677967352205e-5
1.0096939430565895e-5,1.992984797564333e-5,1.172338509349596e-5
1.616813734382637e-5,1.0644384975949537e-6,3.416241567797115e-5
1.4102944459831897e-5,2.2112283397446506e-5,7.880311492650769e-6
2.2313074347361422e-5,7.173363708992408e-5,6.607008560718174e-6
1.8076174744609947e-5,4.070443324481835e-5,1.7729283837189957e-5
3.852109503874333e-6,1.332296373991687e-5,9.12588244971283e-6
1.4347305553067713e-5,1.807509537100709e-5,2.1466205089217057e-5
2.2857276202808673e-5,2.861341064974717e-5,2.4496184684831177e-5
1.8433940660438727e-5,1.7299840213536866e-5,2.957878936401479e-5
2.5480845498283626e-6,7.190437445232033e-7,1.722165721392842e-6
3.748919375163459e-5,5.6145351862742534e-5,3.0302125982716727e-5
1.9343869282388147e-6,4.5324275817562815e-5,4.1440006229729185e-5
7.828688120418487e-7,1.9691583065076694e-5,4.2881309226662285e-6
3.411438898752899e-5,2.323542220640622e-5,2.4905589962253864e-5
8.723565706658263e-6,2.1866268824031805e-5,2.7439322516442124e-5
1.291669860264251e-5,4.673944966394876e-6,2.9218013328556097e-5
2.6837180070635775e-6,1.6941963224748043e-5,5.066368237430419e-5
1.2163706964115286e-5,1.943547132198991e-5,1.0666928788079647e-5
1.5786115224848425e-5,3.390005332164253e-5,9.80964098242047e-6
2.931599165926921e-5,2.75599472805478e-6,2.16211525072784e-5
6.081342488209226e-6,1.2196201170692087e-6,8.345867727796853e-6
3.735826042685682e-5,1.4513849683844707e-5,2.457101424846056e-5
3.202474943515865e-5,8.588715302412468e-7,1.6269221923401252e-5
1.864483842614359e-5,1.9777368905083944e-5,1.3854717453117049e-5
1.6525040060258186e-5,3.790487608819406e-5,1.9611366943123692e-5
1.870415591915093e-5,5.7959650314474265e-6,8.333043197859486e-6
2.589344179297364e-6,2.641632191823903e-5,2.4899617690508205e-5
1.8178002559695878e-5,2.777978059999653e-6,2.6844142205086603e-5
2.087202252595592e-5,1.1442820772006356e-5,4.783701533736969e-6
7.130541194566303e-5,1.3285997034744351e-5,1.8650766285006398e-5
8.120167252551825e-6,1.0843618647057892e-5,3.1799177046924815e-5
6.798268092399416e-6,7.2750345916882e-6,7.940274715032957e-6
4.706542866300033e-7,1.9950831172442708e-5,2.1886357022401115e-5
